"filename", "language", "Python", "Markdown", "JSON", "HTML", "PostCSS", "comment", "blank", "total"
"c:\Hook\toolset\.claude\settings.local.json", "JSON", 0, 0, 14, 0, 0, 0, 1, 15
"c:\Hook\toolset\CLAUDE.md", "Markdown", 0, 53, 0, 0, 0, 0, 19, 72
"c:\Hook\toolset\app.py", "Python", 18, 0, 0, 0, 0, 1, 9, 28
"c:\Hook\toolset\db.py", "Python", 56, 0, 0, 0, 0, 3, 7, 66
"c:\Hook\toolset\seed.py", "Python", 49, 0, 0, 0, 0, 11, 16, 76
"c:\Hook\toolset\seed_all.py", "Python", 336, 0, 0, 0, 0, 1813, 51, 2200
"c:\Hook\toolset\seed_dubbo.py", "Python", 38, 0, 0, 0, 0, 9, 12, 59
"c:\Hook\toolset\seed_dubbo_content.py", "Python", 213, 0, 0, 0, 0, 835, 8, 1056
"c:\Hook\toolset\seed_llm_content.py", "Python", 173, 0, 0, 0, 0, 6, 16, 195
"c:\Hook\toolset\seed_llm_content2.py", "Python", 253, 0, 0, 0, 0, 9, 20, 282
"c:\Hook\toolset\seed_llm_content3.py", "Python", 110, 0, 0, 0, 0, 5, 11, 126
"c:\Hook\toolset\seed_llm_stacks.py", "Python", 32, 0, 0, 0, 0, 1, 5, 38
"c:\Hook\toolset\seed_middleware.py", "Python", 187, 0, 0, 0, 0, 1007, 12, 1206
"c:\Hook\toolset\seed_nacos.py", "Python", 98, 0, 0, 0, 0, 433, 11, 542
"c:\Hook\toolset\seed_springboot.py", "Python", 118, 0, 0, 0, 0, 1198, 11, 1327
"c:\Hook\toolset\static\style.css", "PostCSS", 0, 0, 0, 0, 100, 7, 13, 120
"c:\Hook\toolset\templates\base.html", "HTML", 0, 0, 0, 19, 0, 0, 1, 20
"c:\Hook\toolset\templates\skillset\entry_form.html", "HTML", 0, 0, 0, 32, 0, 0, 2, 34
"c:\Hook\toolset\templates\skillset\group_detail.html", "HTML", 0, 0, 0, 73, 0, 1, 3, 77
"c:\Hook\toolset\templates\skillset\index.html", "HTML", 0, 0, 0, 19, 0, 0, 1, 20
"c:\Hook\toolset\templates\skillset\stack.html", "HTML", 0, 0, 0, 90, 0, 2, 3, 95
"c:\Hook\toolset\templates\skillset\tool.html", "HTML", 0, 0, 0, 68, 0, 1, 3, 72
"c:\Hook\toolset\templates\skillset\tool_grouped.html", "HTML", 0, 0, 0, 51, 0, 1, 5, 57
"c:\Hook\toolset\templates\skillset\tool_groups.html", "HTML", 0, 0, 0, 27, 0, 0, 2, 29
"c:\Hook\toolset\tools\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Hook\toolset\tools\skillset\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 1, 3
"c:\Hook\toolset\tools\skillset\models.py", "Python", 104, 0, 0, 0, 0, 0, 17, 121
"c:\Hook\toolset\tools\skillset\routes.py", "Python", 103, 0, 0, 0, 0, 3, 16, 122
"Total", "-", 1890, 53, 14, 379, 100, 5346, 277, 8059